Source Page,Event Date,Number of Shows,Headliner,Support,Venue,City,State,Country,Market,Venue Type,Currency,Promoter,Genre,Tickets Sold,Gross USD,Event Capacity,Capacity Sold %,Min Price USD,Max Price USD,Avg Price USD,Actions
Page 2,4/9/2024,1,Chastity Belt,Peel Dream Magazine,191 Toole,Tucson,Arizona,United States,Tucson (Sierra Vista),Club,US DOLLAR,"Best Life Presents, Rialto Theatre",Pop / Rock,132,2230.00,500,26%,17.00,20.00,16.89,
Page 2,4/9/2024,1,Alestorm,Elvenking,Knitting Factory Concert House,Spokane,Washington,United States,Spokane,Club,US DOLLAR,Knitting Factory Entertainment - Beverly Hills,Pop / Rock,872,21930.00,"1,437",60%,25.00,30.00,25.15,
Page 2,4/9/2024,1,Darcy & Jer,,9:30 Club,Washington,District of Columbia,United States,"Washington, D.C. (Hagerstown)",Club,US DOLLAR,AEG Presents,Comedy,572,22594.00,750,76%,39.50,39.50,39.50,
Page 2,4/9/2024,1,Matt Maltese,,Auditorio BB,Mexico City,,Mexico,,Auditorium / Theatre,Pesos,OCESA,Pop / Rock,497,20499.80,"2,457",20%,20.22,110.29,41.25,
Page 2,4/9/2024,1,Mariah The Scientist,,Echostage,Washington,District of Columbia,United States,"Washington, D.C. (Hagerstown)",Club,US DOLLAR,Live Nation,RB / Soul,"3,000",111555.00,"3,000",100%,31.50,76.50,37.19,
Page 2,4/9/2024,1,Steve Hofstetter,,Knitting Factory Concert House,Boise,Idaho,United States,Boise,Club,US DOLLAR,Knitting Factory Entertainment - Beverly Hills,Comedy,132,7285.00,310,42%,40.00,85.00,55.19,
Page 2,4/9/2024,1,David Sedaris,,Fox Theatre,Atlanta,Georgia,United States,Atlanta,Auditorium / Theatre,US DOLLAR,Innovation Arts and Entertainment,"Comedy, Spoken Word","2,741",135470.00,"4,623",59%,21.00,60.00,49.42,
Page 2,4/9/2024,1,Laufey,Grace Enger,Paramount Theatre,Seattle,Washington,United States,Seattle-Tacoma,Auditorium / Theatre,US DOLLAR,Seattle Theatre Group,Pop / Rock,"2,790",243982.00,"2,817",99%,39.50,109.50,87.45,
Page 2,4/9/2024,1,Casting Crowns,,Ryman Auditorium,Nashville,Tennessee,United States,Nashville,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Christian,"2,236",150335.00,"2,291",97%,45.00,200.00,67.23,
Page 2,4/9/2024,1,Joanne Shaw Taylor,,The Parker,Fort Lauderdale,Florida,United States,Miami-Ft. Lauderdale,Auditorium / Theatre,US DOLLAR,JR Affiliates,Pop / Rock,407,23260.25,"1,147",35%,32.75,82.75,57.15,
Page 2,4/9/2024,8,"""Mrs. Doubtfire""",,Broward Center Au-Rene Theater,Fort Lauderdale,Florida,United States,Miami-Ft. Lauderdale,Auditorium / Theatre,US DOLLAR,Broadway Across America,Theatrical,"1,516",126894.98,"5,174",29%,45.00,176.00,83.68,
Page 2,4/9/2024,1,Bell Witch,,The Academy 2,Dublin,,Ireland,,Club,Euro,Live Nation / Gaiety Investments (MCD Productions),Pop / Rock,225,6106.19,230,97%,27.14,27.14,27.14,
Page 2,4/9/2024,1,Charlie Parr,,The Elm,Bozeman,Montana,United States,Billings,Club,US DOLLAR,Logjam Presents,"Country, Folk",386,9495.00,"1,140",33%,24.00,27.00,24.60,
Page 2,4/9/2024,1,Kanii,,Subterranean,Chicago,Illinois,United States,Chicago,Club,US DOLLAR,Jam Productions,,239,4324.00,375,63%,18.00,20.00,18.09,
Page 2,4/9/2024,1,Saint Motel,,Plaza Live Orlando,Orlando,Florida,United States,Orlando-Daytona Beach-Melbourne,Auditorium / Theatre,US DOLLAR,AEG Presents,Pop / Rock,"1,169",34447.50,"1,250",93%,27.50,44.50,29.47,
Page 2,4/9/2024,1,"Oliver Hazard, Próxima Parada",,High Noon Saloon,Madison,Wisconsin,United States,Madison,Club,US DOLLAR,FPC Live (Frank Productions Concerts),"Pop / Rock, RB / Soul",330,6675.00,400,82%,20.00,25.00,20.23,
Page 2,4/9/2024,1,Owl City,Augustana,The Orange Peel,Asheville,North Carolina,United States,Charlotte,Club,US DOLLAR,(In-House Promotion),"Dance / Electronic, Pop / Rock","1,050",30975.00,"1,050",100%,29.50,32.00,29.50,
Page 2,4/9/2024,1,Eric Bellinger,,Melkweg,Amsterdam,,Netherlands,,Club,Euro,"(In-House Promotion), Friendly Fire / FKP Scorpio",RB / Soul,650,15876.10,650,100%,24.42,24.42,24.42,
Page 2,4/9/2024,1,Spanish Love Songs,"Oso Oso, Sydney Sprague, Worry Club",El Corazon,Seattle,Washington,United States,Seattle-Tacoma,Club,US DOLLAR,(In-House Promotion),Pop / Rock,364,9235.00,500,72%,25.00,30.00,25.37,
Page 2,4/9/2024,1,Milky Chance,,Guanamor Teatro Studio,Zapopan,,Mexico,,Auditorium / Theatre,Pesos,OCESA,Pop / Rock,999,55918.97,"2,420",41%,27.57,147.06,55.97,
Page 2,4/9/2024,1,Joan Osborne,,Belly Up,Solana Beach,California,United States,San Diego,Club,US DOLLAR,Belly Up Entertainment,Pop / Rock,248,12520.00,400,62%,45.00,79.00,50.48,
Page 2,4/9/2024,1,Marco Benevento,Ghost Funk Orchestra,Brighton Music Hall,Boston,Massachusetts,United States,Boston (Manchester),Club,US DOLLAR,Crossroads Presents,Pop / Rock,170,3538.00,500,34%,20.00,23.00,20.81,
Page 2,4/9/2024,1,Erika De Casier,Contour,The Independent,San Francisco,California,United States,San Francisco-Oakland-San Jose,Club,US DOLLAR,Another Planet Entertainment,"Pop / Rock, RB / Soul",543,11976.00,550,98%,22.00,25.00,22.06,
Page 2,4/9/2024,1,We Three,SkyDxddy,HI-FI,Indianapolis,Indiana,United States,Indianapolis,Club,US DOLLAR,MOKB Presents,,244,9990.00,400,61%,15.00,18.00,40.94,
Page 2,4/9/2024,1,Nascar Aloe,,The Atlantis,Washington,District of Columbia,United States,"Washington, D.C. (Hagerstown)",Club,US DOLLAR,I.M.P.,Uncategorized,176,3520.00,450,39%,20.00,20.00,20.00,
Page 2,4/9/2024,1,Megadeth,,Movistar Arena,Santiago,,Chile,,Arena,Peso,"Fanlab Producciones, Mercury Concerts",Pop / Rock,"14,828",888878.66,"15,046",98%,20.10,83.56,59.95,
Page 2,4/9/2024,1,Bad Religion,Social Distortion,Mechanics Bank Theater,Bakersfield,California,United States,Bakersfield,Auditorium / Theatre,US DOLLAR,Live Nation,Pop / Rock,"3,537",172285.00,"3,537",100%,49.50,55.00,48.71,
Page 2,4/9/2024,1,Jena Friedman,,The Crystal Ballroom at Somerville Theatre,Somerville,Massachusetts,United States,Boston (Manchester),Auditorium / Theatre,US DOLLAR,Bill Blumenreich Presents,Comedy,65,1560.00,325,20%,24.00,24.00,24.00,
Page 2,4/9/2024,1,Goose,,The Capitol Theatre,Port Chester,New York,United States,New York,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Pop / Rock,"1,964",143128.00,"1,964",100%,59.50,104.50,72.88,
Page 2,4/9/2024,1,Andres Cepeda,,City Winery Nashville,Nashville,Tennessee,United States,Nashville,Club,US DOLLAR,(In-House Productions) / City Winery,Latin,314,18363.00,314,100%,50.00,65.00,58.48,
Page 2,4/9/2024,1,Scarface,,The Howard Theatre,Washington,District of Columbia,United States,"Washington, D.C. (Hagerstown)",Club,US DOLLAR,Black Promoters Collective LLC,Rap / HipHop,"1,228",98752.00,"1,228",100%,73.50,129.50,80.42,
Page 2,4/9/2024,1,Myrkur,,Academy 2,Manchester,,United Kingdom,,Club,Pound Sterling,DEAG / KMJ Entertainment,Pop / Rock,530,15777.13,900,58%,29.74,32.90,29.77,
Page 2,4/9/2024,1,Lulu,,Glasgow Royal Concert Hall,Glasgow,,United Kingdom,,Auditorium / Theatre,Pound Sterling,DEAG / KMJ Entertainment,Pop / Rock,"1,970",113413.76,"2,028",97%,41.13,126.55,57.57,
Page 2,4/9/2024,1,The World of Hans Zimmer,,Resorts World Arena,Birmingham,,United Kingdom,,Arena,Pound Sterling,"DEAG / KMJ Entertainment, Semmel Concerts Entertainment GmbH",Classical,"7,041",667992.49,"7,628",92%,82.25,297.38,94.87,
Page 2,4/9/2024,1,HotWax,Aziya,Future Yard,Birkenhead,,United Kingdom,,Club,Pound Sterling,DEAG / KMJ Entertainment,Pop / Rock,96,1521.71,260,36%,15.82,18.98,15.85,
Page 2,4/9/2024,1,Kyle Gordon,,McMenamins Mission Theater,Portland,Oregon,United States,"Portland, OR",Auditorium / Theatre,US DOLLAR,Monqui Presents,Comedy,121,2689.00,200,60%,22.00,25.00,22.22,
Page 2,4/9/2024,1,The Last Dinner Party,Miss Grit,McMenamins Crystal Ballroom,Portland,Oregon,United States,"Portland, OR",Club,US DOLLAR,Showbox Presents,Pop / Rock,"1,460",40066.00,"1,460",100%,29.50,45.00,27.44,
