month,category,Volume
2024-07-01 00:00:00,Climate and Weather,1828179
2022-11-01 00:00:00,Financials,3965481
2024-09-01 00:00:00,World,10194
2025-03-01 00:00:00,Elections,675738
2023-12-01 00:00:00,Economics,1563449
2024-04-01 00:00:00,Science and Technology,154992
2024-12-01 00:00:00,Economics,4653871
2025-09-01 00:00:00,Financials,21260544
2025-03-01 00:00:00,Science and Technology,2953012
2026-04-01 00:00:00,Health,260199
2022-11-01 00:00:00,Climate and Weather,959157
2026-02-01 00:00:00,Politics,347630190
2025-11-01 00:00:00,Mentions,26912366
2023-08-01 00:00:00,Health,25120
2026-01-01 00:00:00,Unknown,987981
2023-10-01 00:00:00,Financials,23579400
2024-07-01 00:00:00,Economics,4673160
2022-06-01 00:00:00,Economics,1789508
2023-06-01 00:00:00,Financials,18055798
2026-01-01 00:00:00,Transportation,1941
2022-11-01 00:00:00,Transportation,90494
2024-08-01 00:00:00,Entertainment,1163879
2025-01-01 00:00:00,Politics,80894379
2025-12-01 00:00:00,World,1617938
2026-02-01 00:00:00,Education,0
2023-03-01 00:00:00,Climate and Weather,598828
2022-02-01 00:00:00,Health,538788
2025-12-01 00:00:00,Social,1434686
2024-07-01 00:00:00,Health,35155
2025-02-01 00:00:00,Crypto,36912898
2025-01-01 00:00:00,Climate and Weather,22331756
2026-02-01 00:00:00,Health,178391
2023-10-01 00:00:00,Climate and Weather,584292
2024-04-01 00:00:00,Financials,25178452
2025-08-01 00:00:00,Mentions,1698887
2025-01-01 00:00:00,Financials,4231616
2025-09-01 00:00:00,Crypto,99093568
2026-01-01 00:00:00,Mentions,117490054
2022-11-01 00:00:00,Economics,1383101
2024-05-01 00:00:00,Crypto,1147750
2025-02-01 00:00:00,Politics,43916508
2022-08-01 00:00:00,Health,220865
2023-07-01 00:00:00,Health,4239
2024-06-01 00:00:00,Health,34367
2022-10-01 00:00:00,Climate and Weather,758918
2025-04-01 00:00:00,World,3744543
2026-04-01 00:00:00,Crypto,1199968016.9400017
2023-12-01 00:00:00,Health,15089
2023-08-01 00:00:00,Politics,296422
2024-06-01 00:00:00,Entertainment,1694008
2025-07-01 00:00:00,Health,168405
2025-01-01 00:00:00,Companies,3829808
2026-03-01 00:00:00,Science and Technology,8783654.68
2021-10-01 00:00:00,World,48172
2024-09-01 00:00:00,Economics,4964535
2025-02-01 00:00:00,Mentions,951668
2025-06-01 00:00:00,Elections,2872301
2022-10-01 00:00:00,Financials,4995621
2024-07-01 00:00:00,Entertainment,1486548
2025-08-01 00:00:00,Economics,40936388
2025-06-01 00:00:00,Companies,669327
2026-02-01 00:00:00,Science and Technology,25652490
2021-07-01 00:00:00,Climate and Weather,92616
2021-11-01 00:00:00,Climate and Weather,455107
2022-04-01 00:00:00,Politics,272817
2022-07-01 00:00:00,Economics,2247643
2025-01-01 00:00:00,Elections,1836536
2024-12-01 00:00:00,Health,374017
2023-04-01 00:00:00,Entertainment,0
2025-11-01 00:00:00,Financials,26128240
